group,label,target,count,target_abs_mean,raw_abs_mean,correction_abs_mean,source_abs_mean,corrected_abs_mean,mean_improvement,sign_match_rate,beneficial_rate,harmful_rate
overall,all test events,all,14533132,0.7092097441986353,0.016727231355174982,0.01157165512275137,0.7092097441986353,0.7085207581631406,0.0006889918410893207,0.5155836471631939,0.5121844348485929,0.48781295043628586
overall,all test events,affected,4641126,1.1046952400734757,0.024511078383527646,0.01832320377087724,1.1046952400734757,1.1041770392842167,0.0005182038532217682,0.5136827004539426,0.5097890037891667,0.4902084106313856
overall,all test events,unaffected,9892006,0.5236560658487773,0.013075210495115482,0.008403967190483943,0.5236560658487773,0.5228869520689231,0.0007691220449622802,0.5164755335412933,0.5133083218914344,0.4866890497235849
severity_low,severity <= 1.557,all,3681756,0.5708375628559612,0.008042653530170115,0.0051881078771373905,0.5708375628559612,0.5703778796487499,0.0004596859422940335,0.5124453484863258,0.5105175356541825,0.48947974825056306
severity_low,severity <= 1.557,affected,732667,0.8361752164416952,0.009946046669040264,0.0071073038256751,0.8361752164416952,0.8353670655781378,0.000808150237424166,0.5154265592050937,0.5136822048761579,0.4863137004942218
severity_low,severity <= 1.557,unaffected,2949089,0.5049174934959788,0.007569777519965368,0.004711305937649702,0.5049174934959788,0.5045443880084663,0.00037311402533209153,0.5117046989697098,0.5097313102452995,0.4902663161403403
severity_mid,1.557 < severity <= 2.578,all,5034417,0.6626365016545114,0.014323505114921248,0.009806766404424752,0.6626365016545114,0.6616809315693853,0.0009555694834933958,0.5190228116422145,0.516012479697252,0.48398493807723914
severity_mid,1.557 < severity <= 2.578,affected,1589899,0.9590187214722444,0.019214046678728565,0.01415718967618973,0.9590187214722444,0.9577579495615759,0.0012607673657318514,0.5200170577409563,0.5167799967167725,0.48321685842937195
severity_mid,1.557 < severity <= 2.578,unaffected,3444518,0.5258342516781376,0.012066159465518436,0.007798725379013365,0.5258342516781376,0.52501955587019,0.0008146981597966626,0.51856389401218,0.5156582140084621,0.48433946346048995
severity_high,severity > 2.578,all,5816959,0.8370981774744759,0.02430436280083696,0.017139486939835503,0.8370981774744759,0.8364947653759035,0.0006034119493804876,0.5145934800506177,0.5099264065639796,0.4900710147690572
severity_high,severity > 2.578,affected,2318560,1.2894421377452492,0.032745958962274974,0.024724186147092646,1.2894421377452492,1.2895247455923613,-8.261526499251287e-05,0.5087880090935871,0.5037648367952522,0.4962334379959975
severity_high,severity > 2.578,unaffected,3498399,0.5373077252176639,0.01870970398304763,0.01211273605020546,0.5373077252176639,0.5362496591967855,0.0010580757113724305,0.5184410543135557,0.5140099799937057,0.48598687571086086
recovery_short_lt30,recovery < 30 min,all,5361359,0.606863957265779,0.009139999191445458,0.006005619188541664,0.606863957265779,0.6063967111405429,0.0004672481821869001,0.5116941912064099,0.5096081049599551,0.4903894702816954
recovery_short_lt30,recovery < 30 min,affected,1259912,0.9364992472874594,0.011857546324493422,0.008544134914597613,0.9364992472874594,0.9359351856952609,0.0005640740560217723,0.5107479984665559,0.5087712475156995,0.49122557765939207
recovery_short_lt30,recovery < 30 min,unaffected,4101447,0.5056042168623659,0.008305203457862707,0.005225819685124,0.5056042168623659,0.5051667107326695,0.00043750451297492764,0.511984850154629,0.5098651768509992,0.4901326288014937
recovery_mid_30_90,30 <= recovery < 90 min,all,1836861,0.6708174255904502,0.013076928687132984,0.008952690723167536,0.6708174255904502,0.6696511064128219,0.001166319012007655,0.5238115977454968,0.5210726342385189,0.4789235549124294
recovery_mid_30_90,30 <= recovery < 90 min,affected,541076,1.0286134657059498,0.018032449891593687,0.013511764715820324,1.0286134657059498,1.0265048309843487,0.0021086282876270936,0.5287843644596405,0.5257819603900377,0.4742143432715552
recovery_mid_30_90,30 <= recovery < 90 min,unaffected,1295785,0.5214138842779185,0.01100767046985816,0.007048975676772505,0.5214138842779185,0.5206410540051494,0.0007728425202899431,0.5217351375462848,0.5191061788799839,0.4808899624551913
recovery_long_ge90,recovery >= 90 min,all,7334912,0.7936325467333487,0.02318715606507319,0.016295936709090717,0.7936325467333487,0.7929010158242185,0.0007315368059896215,0.5163660874125907,0.5118417235271534,0.488155822455675
recovery_long_ge90,recovery >= 90 min,affected,2840138,1.1938029610874101,0.03135855157483077,0.023577920435741976,1.1938029610874101,1.1936080892570184,0.00019486291090606303,0.5121075358469255,0.5071936645332022,0.4928042228933946
recovery_long_ge90,recovery >= 90 min,unaffected,4494774,0.5407746472278139,0.018023850725335064,0.011694628935917701,0.5407746472278139,0.5397039980312414,0.0010706479642657385,0.5190569643191262,0.5147787185740595,0.48521861165878416
severity_high_and_long,severity high and recovery >= 90 min,all,5207258,0.8410932702309449,0.025620691535613457,0.018092871702444422,0.8410932702309449,0.8405054143598704,0.0005878400075698307,0.5146161657750888,0.5097095246673009,0.49028797881725855
severity_high_and_long,severity high and recovery >= 90 min,affected,2119837,1.2770558114403372,0.03417263659120666,0.025799413910153748,1.2770558114403372,1.2772314200926769,-0.00017560363616701287,0.5086973791344039,0.5034401229905884,0.4965579900718782
severity_high_and_long,severity high and recovery >= 90 min,unaffected,3087421,0.5417594313546809,0.01974888829423945,0.01280152533478096,0.5417594313546809,0.5406474032807236,0.0011120238034719454,0.51868003448841,0.514014123762195,0.48598296118346024
