group,label,samples,source_all_mae,source_affected_mae,source_unaffected_mae,adapter_all_mae,adapter_affected_mae,adapter_unaffected_mae,all_delta,affected_delta,unaffected_delta,seed
overall,all test events,27499,0.7100308092302041,1.1077583376234426,0.5234252253513152,0.7097826936495863,1.107350519908854,0.5232520341899055,-0.0002481155806177,-0.0004078177145885,-0.0001731911614096,7
severity_low,severity <= 1.557,9167,0.5708218129516527,0.8364901683677578,0.5048195878641464,0.5706911395931045,0.8362515468956224,0.5047157402490439,-0.0001306733585482,-0.0002386214721353,-0.0001038476151025,7
severity_mid,1.557 < severity <= 2.578,9167,0.6635155030891611,0.9615810507312492,0.5259362686843086,0.6632187628583657,0.9611517351839252,0.52570073676219,-0.0002967402307954,-0.0004293155473241,-0.0002355319221186,7
severity_high,severity > 2.578,9165,0.8383987516608764,1.2937170079098126,0.5366370813924455,0.8381183676282788,1.2932704745213623,0.5364668260574337,-0.0002803840325975,-0.0004465333884502,-0.0001702553350118,7
recovery_short_lt30,recovery < 30 min,12563,0.6076688809545828,0.938725909593692,0.5059724012780581,0.6074315702082835,0.9383028402433192,0.5057921516784198,-0.0002373107462992,-0.0004230693503729,-0.0001802495996382,7
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6708470234682973,1.029071094239476,0.5212647717527407,0.6706748297647794,1.0287183366742845,0.52116795393333,-0.0001721937035178,-0.0003527575651918,-9.681781941062172e-05,7
recovery_long_ge90,recovery >= 90 min,11556,0.794663613923981,1.197733444821277,0.5399736173557474,0.7943885929172105,1.1973219269379471,0.539784859951037,-0.0002750210067704,-0.0004115178833299,-0.0001887574047104,7
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8423367037051938,1.2814282289894223,0.5408545163736578,0.8420813374812617,1.2810219634148168,0.540702759580731,-0.000255366223932,-0.0004062655746055,-0.0001517567929267,7
overall,all test events,27499,0.7092097476928063,1.104695250173395,0.5236560740427358,0.7085207538626224,1.1041770401258768,0.5228869534510366,-0.0006889938301839,-0.0005182100475185,-0.0007691205916992,11
severity_low,severity <= 1.557,9167,0.5708375631212049,0.8361752104437026,0.5049174938271191,0.5703778740786326,0.8353670595801452,0.504544379398816,-0.0004596890425723,-0.0008081508635573,-0.0003731144283031,11
severity_mid,1.557 < severity <= 2.578,9167,0.6626364973870112,0.9590187220864738,0.525834256214331,0.6616809218705214,0.957757952018493,0.5250195587053109,-0.0009555755164898,-0.0012607700679807,-0.00081469750902,11
severity_high,severity > 2.578,9165,0.8370981747883645,1.2894421411147976,0.5373077333128847,0.8364947626897921,1.289524752331458,0.5362496544513111,-0.0006034120985723,8.261121666031102e-05,-0.0010580788615736,11
recovery_short_lt30,recovery < 30 min,12563,0.6068639592694105,0.9364992550384968,0.5056042161480601,0.6063967068600575,0.93593517620024,0.505166710792195,-0.0004672524093529,-0.0005640788382567,-0.000437505355865,11
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6708174133625585,1.0286134675108023,0.5214139031190552,0.6696510952482251,1.0265048454231709,0.5206410562660858,-0.0011663181143334,-0.0021086220876318,-0.0007728468529694,11
recovery_long_ge90,recovery >= 90 min,11556,0.793632556851909,1.1938029528351704,0.5407746455983173,0.7929010208834987,1.193608093898903,0.5397039999866372,-0.0007315359684103,-0.000194858936267,-0.0010706456116801,11
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8410932589786217,1.2770558013054187,0.5417594231307862,0.8405054241118838,1.2772314090364023,0.5406474045459382,-0.0005878348667379,0.0001756077309835,-0.0011120185848479,11
overall,all test events,27499,0.7075320097413879,1.102140277690694,0.5223899233238815,0.7071454405870669,1.1016149444643797,0.522068453300669,-0.000386569154321,-0.0005253332263146,-0.0003214700232124,23
severity_low,severity <= 1.557,9167,0.5699668132203763,0.8362699334087399,0.5038068943043724,0.5696871180066658,0.8357547458303448,0.5035856958310897,-0.0002796952137105,-0.000515187578395,-0.0002211984732827,23
severity_mid,1.557 < severity <= 2.578,9167,0.6619134688131466,0.9600977484703824,0.5242794291288542,0.6613553209245728,0.9592893422888026,0.523836809202151,-0.0005581478885737,-0.0008084061815798,-0.0004426199267031,23
severity_high,severity > 2.578,9165,0.8340834025266681,1.283557931701142,0.5361946831563167,0.8337776770474057,1.2832234770719757,0.5359079844898338,-0.0003057254792624,-0.0003344546291663,-0.0002866986664828,23
recovery_short_lt30,recovery < 30 min,12563,0.6065197547853247,0.9378686397250612,0.5047336219892714,0.6061557252787959,0.9372575673160852,0.5044454755417341,-0.0003640295065288,-0.0006110724089758,-0.0002881464475372,23
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6697293484390626,1.0276064715839364,0.5202919661754265,0.6691663156942741,1.0265666228251091,0.5199280533855926,-0.0005630327447885,-0.0010398487588272,-0.0003639127898339,23
recovery_long_ge90,recovery >= 90 min,11556,0.7908324292630402,1.1892121895105756,0.5391059714918369,0.7904735765160253,1.1888229090067544,0.5387663416082628,-0.0003588527470148,-0.0003892805038212,-0.0003396298835741,23
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8375877117093103,1.2705994750053309,0.540279907161997,0.8373244883631654,1.2703405840431363,0.5400137117121783,-0.0002632233461449,-0.0002588909621943,-0.0002661954498187,23
