horizon,no_decay_all_model_robust_mae,decay_all_model_robust_mae,all_decay_delta,all_decay_gain_pct,no_decay_affected_model_robust_mae,decay_affected_model_robust_mae,affected_decay_delta,affected_decay_gain_pct
1,0.5335306846532114,0.5333188139311404,-0.00021187072207096147,0.039711065954655435,0.7486946625857976,0.7465290395316834,-0.002165623054114274,0.28925317119729055
2,0.5965152864613411,0.5964259668899669,-8.931957137425783e-05,0.014973559504924178,0.87375562289552,0.8706876982684146,-0.0030679246271053673,0.3511193000325008
3,0.6448974561028008,0.6447620166383787,-0.00013543946442207133,0.021001705486721815,0.9710846798028497,0.9663910602422393,-0.004693619560610429,0.48333782400555747
4,0.6791145093183566,0.6786782492980956,-0.0004362600202609812,0.06423953755587784,1.0415314731402852,1.0358048137746718,-0.00572665936561334,0.5498306593027947
5,0.705409627563954,0.7042960244363589,-0.0011136031275951197,0.15786616514447246,1.0975809084395585,1.0899040855125408,-0.007676822927017657,0.6994311642985729
6,0.7298453258574243,0.7287293412496693,-0.0011159846077550828,0.1529070021026744,1.1474635396762412,1.1397775748750096,-0.007685964801231515,0.6698221368672092
7,0.7533244878129072,0.7521352587061926,-0.0011892291067145955,0.15786412441831413,1.1952885954673638,1.1868992168793038,-0.008389378588059992,0.7018705457303978
8,0.7745290518236064,0.7738175673430484,-0.0007114844805580223,0.09186027030010721,1.240054432152028,1.232385449386169,-0.007668982765858923,0.618439204523461
9,0.7948492619540081,0.7933345128183722,-0.0015147491356358733,0.19057061610802886,1.2817274824868172,1.271457174326904,-0.010270308159913144,0.801286412302451
10,0.8126113848874689,0.8116329421528764,-0.0009784427345924662,0.12040721466485015,1.3216051103623139,1.3121118005520196,-0.009493309810294281,0.7183166693182444
11,0.8277699300194237,0.826336809829502,-0.0014331201899216994,0.17313025491129777,1.3523395945895431,1.3418009426423283,-0.010538651947214817,0.7792903490645386
12,0.8456404211523567,0.8443693736458591,-0.0012710475064976468,0.15030590718045225,1.3865704889464767,1.3766121003577865,-0.009958388588690248,0.7182028370051841
