region,h_step,IGS_all,IGS_affected
Alameda,1,10.5577,14.9941
Alameda,2,11.1263,16.0407
Alameda,3,11.6106,16.8160
Alameda,4,12.3627,18.1793
Alameda,5,12.6539,18.6524
Alameda,6,12.9751,19.2229
Alameda,7,13.3744,19.7815
Alameda,8,13.6357,20.2107
Alameda,9,13.8730,20.4441
Alameda,10,14.6085,21.5853
Alameda,11,14.8839,21.9667
Alameda,12,15.2251,22.4353
ContraCosta,1,11.2386,15.3662
ContraCosta,2,11.7796,16.5933
ContraCosta,3,12.2444,17.1783
ContraCosta,4,13.0598,18.7203
ContraCosta,5,13.2959,19.2863
ContraCosta,6,13.6995,19.9484
ContraCosta,7,14.0529,20.4188
ContraCosta,8,14.1880,20.6500
ContraCosta,9,14.4933,21.2216
ContraCosta,10,15.3011,22.2087
ContraCosta,11,15.4915,22.6404
ContraCosta,12,15.8493,23.2079
Orange,1,11.5955,15.5117
Orange,2,12.2073,16.6179
Orange,3,12.7031,17.4404
Orange,4,13.1474,18.2477
Orange,5,13.4598,18.7757
Orange,6,13.7634,19.2495
Orange,7,14.0065,19.6564
Orange,8,14.2763,20.0513
Orange,9,14.5261,20.4193
Orange,10,14.8899,20.8781
Orange,11,15.1431,21.2649
Orange,12,15.4633,21.5854
